dt_s,code,energy_J
2.6e-10,8,-1
2.61e-10,8,-1
2.62e-10,8,-1
2.63e-10,8,-1
2.64e-10,8,-1
2.65e-10,8,-1
2.66e-10,8,-1
2.67e-10,8,-1
2.68e-10,8,-1
2.69e-10,8,-1
2.7e-10,8,-1
2.71e-10,8,-1
2.72e-10,8,-1
2.73e-10,8,-1
2.74e-10,8,-1
2.75e-10,8,-1
2.76e-10,8,-1
2.77e-10,8,-1
2.78e-10,8,-1
2.79e-10,8,-1
2.8e-10,8,-1
2.81e-10,8,-1
2.82e-10,8,-1
2.83e-10,8,-1
2.84e-10,8,-1
2.85e-10,8,-1
2.86e-10,8,-1
2.87e-10,8,-1
2.88e-10,8,-1
2.89e-10,8,-1
2.9e-10,8,-1
2.91e-10,8,-1
2.92e-10,8,-1
2.93e-10,8,-1
2.94e-10,8,-1
2.95e-10,8,-1
2.96e-10,8,-1
2.97e-10,8,-1
2.98e-10,8,-1
2.99e-10,8,-1
3e-10,8,-1
3.01e-10,8,-1
3.02e-10,8,-1
3.03e-10,8,-1
3.04e-10,8,-1
3.05e-10,8,-1
3.06e-10,8,-1
3.07e-10,8,-1
3.08e-10,8,-1
3.09e-10,8,-1
3.1e-10,8,-1
