dt_s,q_final_V,qb_final_V,tq_cross_s
1.41e-13,-0.000000,1.800000,-1
1.42e-13,-0.000000,1.800000,-1
1.43e-13,-0.000000,1.800000,-1
1.44e-13,-0.000000,1.800000,-1
1.45e-13,-0.000000,1.800000,-1
1.46e-13,-0.000000,1.800000,-1
1.47e-13,-0.000000,1.800000,-1
1.48e-13,-0.000000,1.800000,-1
1.49e-13,-0.000000,1.800000,-1
