ff corner
Delay	Output	Energy
2.67e-10	20	1.2882e-11
2.685e-10	20	1.28914e-11
2.7e-10	21	1.28963e-11
2.715e-10	21	1.2891e-11
2.73e-10	21	1.28882e-11
2.745e-10	21	1.28872e-11
2.76e-10	21	1.28868e-11
2.775e-10	21	1.28874e-11
2.79e-10	21	1.28891e-11
2.805e-10	21	1.28955e-11
2.82e-10	22	1.29089e-11
2.835e-10	22	1.29005e-11
2.85e-10	22	1.2897e-11
2.865e-10	22	1.28952e-11
2.88e-10	22	1.28949e-11
2.895e-10	22	1.28949e-11
2.91e-10	22	1.28968e-11
2.925e-10	22	1.29019e-11
2.94e-10	23	1.29182e-11
2.955e-10	23	1.29079e-11
2.97e-10	23	1.29045e-11
2.985e-10	23	1.29024e-11
3e-10	23	1.29015e-11
3.015e-10	23	1.29016e-11
3.03e-10	23	1.29032e-11
3.045e-10	23	1.29083e-11
3.06e-10	24	1.29259e-11
3.075e-10	24	1.29146e-11
3.09e-10	24	1.29105e-11
3.105e-10	24	1.29077e-11
3.12e-10	24	1.29061e-11
3.135e-10	24	1.29048e-11
3.15e-10	24	1.29042e-11
3.165e-10	24	1.29037e-11
3.18e-10	24	1.29035e-11
3.195e-10	24	1.29037e-11
3.21e-10	24	1.2904e-11
3.225e-10	24	1.29049e-11
3.24e-10	24	1.29065e-11
3.255e-10	24	1.29096e-11
3.27e-10	24	1.29166e-11
3.285e-10	25	1.29298e-11
3.3e-10	25	1.29227e-11
3.315e-10	25	1.29208e-11
3.33e-10	25	1.29202e-11
3.345e-10	25	1.29221e-11
3.36e-10	25	1.29281e-11
3.375e-10	26	1.29408e-11
3.39e-10	26	1.29325e-11
3.405e-10	26	1.29293e-11
3.42e-10	26	1.29277e-11
3.435e-10	26	1.29271e-11
3.45e-10	26	1.29272e-11
3.465e-10	26	1.29288e-11
3.48e-10	26	1.29331e-11
3.495e-10	27	1.29601e-11
3.51e-10	27	1.29427e-11
3.525e-10	27	1.29384e-11
3.54e-10	27	1.29365e-11
3.555e-10	27	1.29354e-11
3.57e-10	27	1.29354e-11
3.585e-10	27	1.29365e-11
3.6e-10	27	1.29398e-11
3.615e-10	27	1.29567e-11
3.63e-10	28	1.29518e-11
3.645e-10	28	1.2947e-11
3.66e-10	28	1.29449e-11
3.675e-10	28	1.29436e-11
3.69e-10	28	1.29434e-11
3.705e-10	28	1.29444e-11
3.72e-10	28	1.29469e-11
3.735e-10	28	1.29567e-11
3.75e-10	29	1.2962e-11
3.765e-10	29	1.29558e-11
3.78e-10	29	1.29531e-11
3.795e-10	29	1.29518e-11
3.81e-10	29	1.29515e-11
3.825e-10	29	1.29521e-11
3.84e-10	29	1.29541e-11
3.855e-10	29	1.29614e-11
3.87e-10	30	1.29714e-11
3.885e-10	30	1.29643e-11
3.9e-10	30	1.29612e-11
3.915e-10	30	1.29595e-11
3.93e-10	30	1.2959e-11
3.945e-10	30	1.29596e-11
3.96e-10	30	1.29624e-11
3.975e-10	30	1.29742e-11
3.99e-10	31	1.29745e-11
4.005e-10	31	1.29689e-11
4.02e-10	31	1.2966e-11
4.035e-10	31	1.29641e-11
4.05e-10	31	1.29627e-11
4.065e-10	31	1.29618e-11
4.08e-10	31	1.29614e-11
4.095e-10	31	1.29613e-11
4.11e-10	31	1.29615e-11
4.125e-10	31	1.29623e-11
4.14e-10	31	1.2964e-11
4.155e-10	31	1.29677e-11
4.17e-10	31	1.29791e-11
4.185e-10	31	1.29751e-11
4.2e-10	31	1.2969e-11


