ss corner
Delay	Output	Energy
2.67e-10	15	1.07601e-11
2.685e-10	15	1.07607e-11
2.7e-10	15	1.0762e-11
2.715e-10	15	1.07673e-11
2.73e-10	16	1.07743e-11
2.745e-10	16	1.07713e-11
2.76e-10	16	1.07697e-11
2.775e-10	16	1.07687e-11
2.79e-10	16	1.07681e-11
2.805e-10	16	1.07676e-11
2.82e-10	16	1.07676e-11
2.835e-10	16	1.07682e-11
2.85e-10	16	1.07698e-11
2.865e-10	16	1.0793e-11
2.88e-10	17	1.07806e-11
2.895e-10	17	1.07778e-11
2.91e-10	17	1.07766e-11
2.925e-10	17	1.07756e-11
2.94e-10	17	1.07749e-11
2.955e-10	17	1.07745e-11
2.97e-10	17	1.07745e-11
2.985e-10	17	1.07746e-11
3e-10	17	1.07759e-11
3.015e-10	17	1.0795e-11
3.03e-10	18	1.07857e-11
3.045e-10	18	1.07827e-11
3.06e-10	18	1.0781e-11
3.075e-10	18	1.07799e-11
3.09e-10	18	1.07793e-11
3.105e-10	18	1.07784e-11
3.12e-10	18	1.07777e-11
3.135e-10	18	1.07773e-11
3.15e-10	18	1.07768e-11
3.165e-10	18	1.07766e-11
3.18e-10	18	1.07761e-11
3.195e-10	18	1.0776e-11
3.21e-10	18	1.0776e-11
3.225e-10	18	1.07761e-11
3.24e-10	18	1.07762e-11
3.255e-10	18	1.0777e-11
3.27e-10	18	1.07779e-11
3.285e-10	18	1.07793e-11
3.3e-10	18	1.07847e-11
3.315e-10	19	1.07925e-11
3.33e-10	19	1.07892e-11
3.345e-10	19	1.07874e-11
3.36e-10	19	1.07866e-11
3.375e-10	19	1.0786e-11
3.39e-10	19	1.07855e-11
3.405e-10	19	1.07852e-11
3.42e-10	19	1.07851e-11
3.435e-10	19	1.07852e-11
3.45e-10	19	1.07853e-11
3.465e-10	19	1.07854e-11
3.48e-10	19	1.07853e-11
3.495e-10	19	1.07858e-11
3.51e-10	19	1.07867e-11
3.525e-10	19	1.07882e-11
3.54e-10	19	1.07931e-11
3.555e-10	20	1.08028e-11
3.57e-10	20	1.07989e-11
3.585e-10	20	1.07977e-11
3.6e-10	20	1.07969e-11
3.615e-10	20	1.07965e-11
3.63e-10	20	1.07964e-11
3.645e-10	20	1.07965e-11
3.66e-10	20	1.07968e-11
